what,kind,bundleId,bundleVersion,description,time
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1420004486391
error,log,,,"An exception occurred invoking extension: org.eclipse.jst.jee.ui.ear for object P/git_test",1420004486391
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420004486468
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1420004486478
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420004498010
error,log,,,"Could not write metadata for '/'.",1420004584247
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420004591306
opened,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1420004591636
activated,perspective,org.eclipse.wst.web.ui,1.1.400.v201004141630,"org.eclipse.wst.web.ui.webDevPerspective",1420004591671
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.newWizard",1420004591776
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420004603433
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420004624768
started,bundle,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui",1420004629575
started,bundle,org.eclipse.wst.html.core,1.1.404.v201101190004,"org.eclipse.wst.html.core",1420004629815
started,bundle,org.eclipse.wst.css.core,1.1.402.v201102031915,"org.eclipse.wst.css.core",1420004630005
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1420004630025
started,bundle,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.ui",1420004630525
started,bundle,org.eclipse.jst.jsf.common,1.2.2.v201101211220,"org.eclipse.jst.jsf.common",1420004630690
started,bundle,org.eclipse.jst.jsf.core,1.3.3.v201102021253,"org.eclipse.jst.jsf.core",1420004630700
started,bundle,org.eclipse.jst.jsf.facelet.ui,1.0.0.v20100602,"org.eclipse.jst.jsf.facelet.ui",1420004630730
started,bundle,org.eclipse.jst.jsf.ui,1.3.1.v20100906,"org.eclipse.jst.jsf.ui",1420004630770
started,bundle,org.eclipse.wst.jsdt.web.ui,1.0.304.v201012160349,"org.eclipse.wst.jsdt.web.ui",1420004630800
started,bundle,org.eclipse.wst.css.ui,1.0.502.v201101122002,"org.eclipse.wst.css.ui",1420004630927
started,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1420004630972
started,bundle,org.eclipse.wst.jsdt.web.core,1.0.304.v201102160550,"org.eclipse.wst.jsdt.web.core",1420004631007
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420004631467
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420004642345
started,bundle,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui",1420004642587
opened,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1420004643407
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1420004643763
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1420004644940
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420004646008
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420004664800
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420004666637
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420004672257
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420004674797
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420004681654
started,bundle,org.eclipse.jst.jsf.facelet.core,1.0.2.v201101042130,"org.eclipse.jst.jsf.facelet.core",1420004690236
started,bundle,org.eclipse.wst.xsl.exslt.core,1.0.0.v201005240426,"org.eclipse.wst.xsl.exslt.core",1420004690621
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1420004691088
